k,f_value,grad_norm,step_size,x1,x2,beta,restart
60,0.10840438965716219,1.0903511265181884,0.00390625,1.3279160360817646,1.7663198211785223,0.0,True
61,0.10811625994400274,0.6549986717238537,0.0009765625,1.3288103670948859,1.7657419261989489,0.3608677612526897,False
62,0.10792646042962101,0.8566538298151559,0.00390625,1.3275427223598248,1.7649038964506716,0.0,True
63,0.1077326613264135,0.5269630053000675,0.0009765625,1.328217162752404,1.7644089322397074,0.3783986104046951,False
64,0.1074670135974853,0.589720987037085,0.00390625,1.3271886887626319,1.763465928403644,0.0,True
65,0.10735355581888995,0.38731959078665135,0.0009765625,1.327605236600706,1.7630682501176733,0.43136585087552504,False
66,0.10695020485174597,1.634811431124186,0.015625,1.324661673829624,1.7586592019647573,0.0,True
67,0.10634605966141902,0.9488823406021387,0.0009765625,1.3260614689436507,1.7578914965249808,0.3368909905172051,False
68,0.10596529635969774,0.34528590334746195,0.001953125,1.3251637222661377,1.7575881065626093,0.0,True
69,0.10593614276056476,0.597112700914062,0.001953125,1.3254767243186534,1.7569907566593421,2.9905765361030086,False
70,0.10591026239241415,1.2618723196876211,0.001953125,1.3252472287928,1.7551644102935242,0.0,True
71,0.10553435608500926,0.74076401625065,0.0009765625,1.3240343551794547,1.7553823413734992,0.34461083468864917,False
72,0.10543458414531513,1.055624515203609,0.00390625,1.3246210003993248,1.7538738660205413,0.0,True
73,0.10515890381431746,0.6271031696526098,0.0009765625,1.3236004916434023,1.7540197505280348,0.35290601194018373,False
74,0.10497283366444778,0.8273589232152637,0.00390625,1.3239779317562221,1.7525838962871816,0.0,True
75,0.10478773278044262,0.5043719054960765,0.0009765625,1.32317259657947,1.7526490657188811,0.3716326520880995,False
76,0.1045273934595821,0.5632065812874475,0.00390625,1.323303042067235,1.7512902034956876,0.0,True
77,0.10442010182743783,0.36948850236446307,0.0009765625,1.3227539159514585,1.7512590975677014,0.430394205073989,False
78,0.10387326936883358,1.4513591338388545,0.015625,1.3219583171326008,1.7461037194556241,0.0,True
79,0.1033827616019365,0.8352932458542461,0.0009765625,1.3205703614589495,1.7463908430455526,0.3312288514253782,False
80,0.10306152827610608,0.3178276759411568,0.001953125,1.3209621910957208,1.7456104395443193,0.0,True
81,0.10301473207223974,0.5227608915396283,0.001953125,1.3203991814580955,1.7453489828099786,2.7053456165674703,False
82,0.10282560775892906,2.0986200792967193,0.0078125,1.3171195762210561,1.7395587463412194,0.0,True
83,0.10182487239769474,1.1768964722622757,0.0009765625,1.318946529539903,1.7386300806622184,0.31449147288237755,False
84,0.10132458024818615,0.45608421017589534,0.001953125,1.317829781352615,1.7384326326327846,0.0,True
85,0.10124062198423672,0.3147248729705296,0.0009765625,1.3181136381436356,1.7380894099740143,0.47618099675465975,False
86,0.09901871322090232,2.782114189614509,0.0625,1.3089416822441216,1.7193064126552058,0.0,True
87,0.09722851127199571,1.5065663978104875,0.0009765625,1.3113949074032611,1.7181388179014685,0.29324232283283985,False
88,0.09651241932660476,0.6335278229394639,0.001953125,1.309959834814478,1.7180859888739086,0.0,True
89,0.0963850198246675,0.3883606856730532,0.0009765625,1.3104245282101452,1.7176775474585309,0.37578473371028154,False
90,0.09606326467839359,0.8894278877725411,0.0078125,1.3088757761896719,1.7157229351270609,0.0,True
